status,health,commonname,latitude,longitude
Alive,Fair,cherry,40.78169145,-73.95203459
Alive,Fair,ginkgo,40.80089816,-73.95830106
Alive,Fair,southern magnolia,40.71358371,-73.97748338
Alive,Fair,Sophora,40.79639517,-73.97073395
Alive,Fair,ginkgo,40.78837543,-73.97866191
Alive,Fair,London planetree,40.80415897,-73.9573557
Alive,Fair,honeylocust,40.74391788,-73.97409343
Alive,Fair,honeylocust,40.79626036,-73.97169807
Alive,Fair,ginkgo,40.78445257,-73.97329241
Alive,Fair,ginkgo,40.78848333,-73.97891766
Alive,Fair,ginkgo,40.81266058,-73.93720599
Alive,Fair,ginkgo,40.80050187,-73.95861638
Alive,Fair,green ash,40.7393226,-73.97803262
Alive,Fair,ginkgo,40.78906544,-73.98029748
Alive,Fair,ginkgo,40.7890352,-73.9802258
Alive,Fair,cherry,40.78173966,-73.95200007
Alive,Fair,ginkgo,40.78873842,-73.97952232
Alive,Fair,honeylocust,40.74538821,-73.97820533
Alive,Fair,honeylocust,40.74327446,-73.97258714
Alive,Fair,honeylocust,40.80217513,-73.95710903
Alive,Fair,honeylocust,40.80241145,-73.95693548
Alive,Fair,American linden,40.78922102,-73.98066627
Alive,Fair,honeylocust,40.73900021,-73.98706607
Alive,Fair,ginkgo,40.80043047,-73.958583
Alive,Fair,honeylocust,40.78394507,-73.97233955
Alive,Fair,honeylocust,40.74321153,-73.97820335
Alive,Fair,honeylocust,40.7433614,-73.97855996
Alive,Fair,ginkgo,40.74342392,-73.97870874
Alive,Fair,honeylocust,40.74356606,-73.97325919
Alive,Fair,honeylocust,40.78808894,-73.94256453
Alive,Fair,American elm,40.81094364,-73.96427309
Alive,Fair,London planetree,40.78225165,-73.97512334
Alive,Fair,American linden,40.80218015,-73.95788794
Alive,Fair,pin oak,40.7440907,-73.98193374
Alive,Fair,pin oak,40.83134282,-73.94682379
Alive,Fair,ginkgo,40.81254488,-73.9369327
Alive,Fair,pin oak,40.80374123,-73.95401505
Alive,Fair,pin oak,40.81486597,-73.93594285
Alive,Fair,Japanese zelkova,40.73591094,-73.9760036
Alive,Fair,ginkgo,40.78437642,-73.97357536
Alive,Fair,Chinese elm,40.78787661,-73.94791705
Alive,Fair,pin oak,40.74406483,-73.97995098
Alive,Fair,London planetree,40.78846177,-73.94678352
Alive,Fair,Japanese zelkova,40.78951175,-73.94203825
Alive,Fair,Japanese zelkova,40.7915497,-73.9532104
Alive,Fair,honeylocust,40.75979196,-73.96451166
Alive,Fair,London planetree,40.78859722,-73.97630954
Alive,Fair,honeylocust,40.80260241,-73.95720265
