status,health,commonname,latitude,longitude
Alive,Poor,Sophora,40.8011855,-73.96874038
Alive,Poor,Sophora,40.7424299,-73.97464266
Alive,Poor,London planetree,40.73691394,-74.00789366
Alive,Poor,London planetree,40.84147917,-73.9390221
Alive,Poor,Callery pear,40.73251633,-73.98735007
Alive,Poor,littleleaf linden,40.84614499,-73.94010945
Alive,Poor,littleleaf linden,40.80098535,-73.93720893
Alive,Poor,katsura tree,40.8498318,-73.93880162
Alive,Poor,Sophora,40.80959778,-73.94374317
Alive,Poor,littleleaf linden,40.7692263,-73.95961166
Alive,Poor,Sophora,40.77895991,-73.95657912
Alive,Poor,London planetree,40.73583706,-74.00630492
Alive,Poor,littleleaf linden,40.75530097,-73.96552782
Alive,Poor,Callery pear,40.78359335,-73.95693428
Alive,Poor,littleleaf linden,40.79511334,-73.97604225
Alive,Poor,sweetgum,40.72498977,-74.00504079
Alive,Poor,littleleaf linden,40.83896279,-73.94284509
Alive,Poor,magnolia,40.70683661,-74.01651289
Alive,Poor,silver maple,40.77251889,-73.95903302
Alive,Poor,Chinese elm,40.78006117,-73.95669779
Alive,Poor,Callery pear,40.77073431,-73.9663124
Alive,Poor,Chinese elm,40.80283128,-73.96401355
Alive,Poor,Japanese zelkova,40.78989545,-73.94096333
Alive,Poor,Japanese zelkova,40.81037598,-73.94340213
Alive,Poor,Japanese zelkova,40.77910115,-73.95691414
Alive,Poor,ginkgo,40.72896336,-74.00472657
Alive,Poor,ginkgo,40.76455582,-73.9971829
Alive,Poor,ginkgo,40.80530224,-73.95771454
Alive,Poor,pin oak,40.8008131,-73.93680185
Alive,Poor,Callery pear,40.74626907,-73.97719388
Alive,Poor,green ash,40.74135757,-73.9782147
Alive,Poor,green ash,40.8149576,-73.94484458
Alive,Poor,London planetree,40.76576456,-73.98742797
Alive,Poor,ash,40.80168863,-73.93913531
Alive,Poor,littleleaf linden,40.75674538,-73.96341273
Alive,Poor,London planetree,40.76552901,-73.96645515
Alive,Poor,Callery pear,40.76760622,-73.96917561
Alive,Poor,American elm,40.76705997,-73.96788366
Alive,Poor,London planetree,40.76584038,-73.96887446
Alive,Poor,Callery pear,40.74319867,-73.97717999
Alive,Poor,Callery pear,40.76391057,-73.96816148
Alive,Poor,London planetree,40.72979823,-74.00484798
Alive,Poor,silver linden,40.7672681,-73.96837293
Alive,Poor,ginkgo,40.84958345,-73.9389014
Alive,Poor,Callery pear,40.80069821,-73.96193025
Alive,Poor,ginkgo,40.75536633,-73.96568322
Alive,Poor,ginkgo,40.73501461,-74.00654716
Alive,Poor,crab apple,40.83671378,-73.94294283
Alive,Poor,honeylocust,40.7276341,-74.00170005
Alive,Poor,ginkgo,40.77194701,-73.96542866
Alive,Poor,ginkgo,40.73497911,-74.00677259
Alive,Poor,American linden,40.80856032,-73.94078301
Alive,Poor,ginkgo,40.75583138,-73.96703707
Alive,Poor,Callery pear,40.78065851,-73.9566075
Alive,Poor,ginkgo,40.72762999,-74.00558335
Alive,Poor,Japanese zelkova,40.84096119,-73.93778519
Alive,Poor,silver linden,40.73648321,-73.99875551
Alive,Poor,Callery pear,40.80080587,-73.96185133
Alive,Poor,maple,40.71498038,-73.97806223
Alive,Poor,ginkgo,40.75741278,-73.9649879
Alive,Poor,Norway maple,40.7180068,-74.00817273
Alive,Poor,honeylocust,40.76181029,-73.99774079
Alive,Poor,bur oak,40.71806854,-73.97654267
Alive,Poor,European hornbeam,40.7381667,-73.9878382
Alive,Poor,honeylocust,40.76556749,-73.95777457
Alive,Poor,Norway maple,40.71807684,-74.00832909
Alive,Poor,London planetree,40.80423243,-73.93987164
Alive,Poor,ginkgo,40.73627185,-73.99825396
Alive,Poor,American linden,40.85044669,-73.93958736
Alive,Poor,white oak,40.76156217,-73.99979632
Alive,Poor,ginkgo,40.72775451,-73.98772346
Alive,Poor,silver linden,40.77128644,-73.96591043
Alive,Poor,Sophora,40.72735541,-74.00562502
Alive,Poor,littleleaf linden,40.72971999,-74.00703981
Alive,Poor,ginkgo,40.7380839,-74.00273738
Alive,Poor,bur oak,40.76787127,-73.95815979
Alive,Poor,honeylocust,40.71670958,-74.01274042
Alive,Poor,ginkgo,40.75540301,-73.97186802
Alive,Poor,honeylocust,40.74371334,-73.9719034
Alive,Poor,ginkgo,40.73808335,-74.0033234
Alive,Poor,honeylocust,40.74359225,-73.97198117
Alive,Poor,American linden,40.80189212,-73.95747146
Alive,Poor,ginkgo,40.77789212,-73.97794821
Alive,Poor,European hornbeam,40.73805393,-73.98792058
Alive,Poor,ginkgo,40.77414806,-73.9635827
Alive,Poor,European hornbeam,40.73476937,-73.98828287
Alive,Poor,ginkgo,40.772062,-73.96534408
Alive,Poor,Sophora,40.82978033,-73.94871369
Alive,Poor,Callery pear,40.73632343,-74.00575766
Alive,Poor,Callery pear,40.77904234,-73.94671719
Alive,Poor,Callery pear,40.72701967,-73.98751511
Alive,Poor,white oak,40.76161367,-73.99991726
Alive,Poor,white oak,40.76165122,-74.00000545
Alive,Poor,honeylocust,40.80109726,-73.9688028
Alive,Poor,ginkgo,40.7711745,-73.96574984
Alive,Poor,ginkgo,40.8046669,-73.96404933
Alive,Poor,hawthorn,40.78629342,-73.9782036
Alive,Poor,ginkgo,40.77469222,-73.96318705
Alive,Poor,honeylocust,40.76681673,-73.95686412
Alive,Poor,ginkgo,40.73766035,-74.00273371
Alive,Poor,ginkgo,40.74685235,-73.97888786
Alive,Poor,ginkgo,40.77123824,-73.96570374
Alive,Poor,honeylocust,40.76086021,-73.98287384
Alive,Poor,American hophornbeam,40.79188826,-73.93856014
Alive,Poor,ginkgo,40.77479071,-73.9631147
Alive,Poor,London planetree,40.8043047,-73.93981969
Alive,Poor,London planetree,40.76476749,-73.99768361
Alive,Poor,ginkgo,40.80493028,-73.96441171
Alive,Poor,London planetree,40.78307178,-73.98195115
